,phrase,label,sentiment,subjectivity,language,count,gnd,geonames,geotype,latitude,longitude,continent,country,ipcc
ICC,ICC,GPE,0.10951910,0.41880764,en,4.60000000,,3645488,T,10.77723000,-63.93120000,SOUTH-AMERICA,Venezuela,NSA
Bangladesh,Bangladesh,GPE,0.02182540,0.64880952,en,4.20000000,4130903-0,1210997,A,24.00000000,90.00000000,ASIA,Bangladesh,SAS
Himachal,Himachal,GPE,0.09322917,0.53072917,en,4.00000000,4240080-6,1270101,A,31.91667000,77.25000000,ASIA,India,TIB
Kishtwar,Kishtwar,GPE,0.05405405,0.21621622,en,3.70000000,4504710-8,9747940,A,33.52958000,76.01462000,ASIA,India,TIB
earth,earth,LOC,-0.08015873,0.30396825,en,3.50000000,,0,,,,,,
Shimla,Shimla,LOC,-0.00476190,0.10000000,en,3.50000000,4118663-1,1256237,P,31.10442000,77.16662000,ASIA,India,TIB
Bollywood,Bollywood,GPE,0.24584555,1.02199413,en,3.10000000,,9959080,S,15.27642000,73.91271000,ASIA,India,SAS
Ahmedabad,Ahmedabad,GPE,0.11111111,0.83333333,en,3.00000000,4000813-7,1279233,P,23.02579000,72.58727000,ASIA,India,SAS
South Africa,South Africa,GPE,-0.03230808,0.83573232,en,3.00000000,4078012-0,953987,A,-29.00000000,24.00000000,AFRICA,South Africa,WSAF
Chile,Chile,GPE,-0.35714286,0.71428571,en,2.80000000,4009929-5,3895114,A,-30.00000000,-71.00000000,SOUTH-AMERICA,Chile,SWS
Sikkim,Sikkim,GPE,-0.04464286,0.13392857,en,2.80000000,4054962-8,1256312,A,27.75000000,88.50000000,ASIA,India,TIB
Holi,Holi,GPE,0.41071429,0.58928571,en,2.80000000,,12341935,P,28.89406000,82.52515000,ASIA,Nepal,TIB
Chandigarh,Chandigarh,GPE,0.17857143,0.17857143,en,2.80000000,4329340-2,1274746,P,30.73629000,76.78840000,ASIA,India,TIB
Nainital,Nainital,GPE,0.04464286,0.25297619,en,2.80000000,4566524-2,1262117,P,29.39743000,79.44686000,ASIA,India,TIB
Srinagar,Srinagar,GPE,0.02218615,0.48214286,en,2.80000000,4349448-1,1255634,P,34.08565000,74.80555000,ASIA,India,WCA
